_id,DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
1890.0,2020-01-01T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,19,77,40
3147.0,2020-01-01T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,13,72,43
6099.0,2020-01-01T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,131,19,70,33
8686.0,2020-01-01T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,123,34,81,16
9476.0,2020-01-01T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,28,65,13
12333.0,2020-01-01T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,38,76,16
15149.0,2020-01-01T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,103,6,60,19
17472.0,2020-01-01T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,7,56,30
17573.0,2020-01-01T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,103,8,57,35
21982.0,2020-01-01T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,14,59,39
23117.0,2020-01-01T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,6,60,47
25475.0,2020-01-01T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,6,52,60
27098.0,2020-01-01T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,124,6,57,79
30865.0,2020-01-01T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,123,6,59,84
33300.0,2020-01-01T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,133,8,62,107
35748.0,2020-01-01T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,119,6,64,87
36781.0,2020-01-01T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,8,60,93
40224.0,2020-01-01T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,123,8,62,83
42075.0,2020-01-01T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,122,7,58,97
43782.0,2020-01-01T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,115,7,60,67
45879.0,2020-01-01T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,8,63,65
49218.0,2020-01-01T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,118,6,58,61
50700.0,2020-01-01T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,122,8,56,47
51880.0,2020-01-01T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,107,6,65,44
55201.0,2020-01-02T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,124,17,61,44
57506.0,2020-01-02T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,19,63,17
60170.0,2020-01-02T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,90,14,51,12
60916.0,2020-01-02T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,75,12,47,12
63357.0,2020-01-02T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,16,66,21
64860.0,2020-01-02T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,105,10,60,47
67245.0,2020-01-02T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,125,7,58,159
69366.0,2020-01-02T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,101,6,39,253
73665.0,2020-01-02T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,101,6,41,257
76041.0,2020-01-02T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,116,6,47,251
76800.0,2020-01-02T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,114,8,51,181
79578.0,2020-01-02T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,7,52,170
81069.0,2020-01-02T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,115,6,51,165
83263.0,2020-01-02T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,117,7,49,154
85878.0,2020-01-02T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,109,6,52,145
88606.0,2020-01-02T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,108,6,45,171
